dataset,external_gene_name,xci.class,celltype.organ.sample,measure,ratio.xi.expression,allele.count
scLinaX_AIDA,AKAP17A,PAR1,MAIT,original,0.531,14.3
scLinaX_AIDA,CD99P1,PAR1,B,original,0.516,14.4
scLinaX_AIDA,SLC25A6,PAR1,pDC,original,0.504,44.5
scLinaX_AIDA,SLC25A6,PAR1,gdT,original,0.501,113.7
scLinaX_AIDA,AKAP17A,PAR1,B,original,0.498,36.0
scLinaX_AIDA,SLC25A6,PAR1,B,original,0.493,140.1
scLinaX_AIDA,P2RY8,PAR1,Monocyte,original,0.486,36.3
scLinaX_AIDA,SLC25A6,PAR1,NK,original,0.483,174.9
scLinaX_AIDA,SLC25A6,PAR1,MAIT,original,0.481,85.5
scLinaX_AIDA,ASMTL,PAR1,B,original,0.480,13.7
scLinaX_AIDA,AKAP17A,PAR1,CD8+ T,original,0.480,61.6
scLinaX_AIDA,P2RY8,PAR1,B,original,0.477,121.8
scLinaX_AIDA,PUDP,nonPAR_escape,gdT,original,0.477,18.7
scLinaX_AIDA,SLC25A6,PAR1,Plasma_B,original,0.476,36.0
scLinaX_AIDA,DHRSX,PAR1,B,original,0.475,17.0
scLinaX_AIDA,DHRSX,PAR1,CD8+ T,original,0.471,15.0
scLinaX_AIDA,IL3RA,PAR1,cDC,original,0.467,14.2
scLinaX_AIDA,SLC25A6,PAR1,CD8+ T,original,0.464,199.7
scLinaX_AIDA,SLC25A6,PAR1,PBMC,original,0.460,719.7
scLinaX_AIDA,SLC25A6,PAR1,CD4+ T,original,0.457,221.0
scLinaX_AIDA,SLC25A6,PAR1,Monocyte,original,0.456,231.0
scLinaX_AIDA,SLC25A6,PAR1,cDC,original,0.454,73.3
scLinaX_AIDA,DHRSX,PAR1,CD4+ T,original,0.453,20.9
scLinaX_AIDA,ZBED1,PAR1,CD8+ T,original,0.453,12.5
scLinaX_AIDA,AKAP17A,PAR1,Monocyte,original,0.452,17.8
scLinaX_AIDA,AKAP17A,PAR1,NK,original,0.448,28.3
scLinaX_AIDA,ASMTL,PAR1,CD8+ T,original,0.447,17.6
scLinaX_AIDA,ASMTL,PAR1,NK,original,0.446,14.0
scLinaX_AIDA,CD99P1,PAR1,NK,original,0.439,16.3
scLinaX_AIDA,IL3RA,PAR1,pDC,original,0.432,42.4
scLinaX_AIDA,ASMTL,PAR1,PBMC,original,0.425,44.3
scLinaX_AIDA,KDM6A,nonPAR_escape,CD4+ T,original,0.424,13.3
scLinaX_AIDA,ASMTL,PAR1,Monocyte,original,0.424,13.9
scLinaX_AIDA,CD99,PAR1,pDC,original,0.423,28.2
scLinaX_AIDA,AKAP17A,PAR1,PBMC,original,0.421,59.0
scLinaX_AIDA,ASMTL,PAR1,CD4+ T,original,0.418,21.4
scLinaX_AIDA,CD99P1,PAR1,CD4+ T,original,0.414,30.0
scLinaX_AIDA,CD99,PAR1,gdT,original,0.413,73.3
scLinaX_AIDA,CSF2RA,PAR1,cDC,original,0.413,18.9
scLinaX_AIDA,CSF2RA,PAR1,PBMC,original,0.412,52.7
scLinaX_AIDA,CD99,PAR1,cDC,original,0.411,70.8
scLinaX_AIDA,CD99P1,PAR1,CD8+ T,original,0.411,22.0
scLinaX_AIDA,ZBED1,PAR1,CD4+ T,original,0.410,13.3
scLinaX_AIDA,CD99P1,PAR1,PBMC,original,0.405,66.1
scLinaX_AIDA,CSF2RA,PAR1,Monocyte,original,0.404,41.5
scLinaX_AIDA,IL3RA,PAR1,PBMC,original,0.403,75.1
scLinaX_AIDA,PUDP,nonPAR_escape,CD4+ T,original,0.403,19.8
scLinaX_AIDA,CD99,PAR1,CD4+ T,original,0.403,529.4
scLinaX_AIDA,PRKX,nonPAR_escape,cDC,original,0.400,14.3
scLinaX_AIDA,STS,nonPAR_escape,NK,original,0.399,12.4
scLinaX_AIDA,CD99,PAR1,CD8+ T,original,0.399,413.0
scLinaX_AIDA,RPS4X,nonPAR_escape,gdT,original,0.398,26.6
scLinaX_AIDA,PUDP,nonPAR_escape,NK,original,0.398,11.5
scLinaX_AIDA,CD99,PAR1,PBMC,original,0.397,1608.4
scLinaX_AIDA,ASMTL-AS1,PAR1,Monocyte,original,0.397,15.5
scLinaX_AIDA,CD99,PAR1,NK,original,0.397,341.1
scLinaX_AIDA,ASMTL-AS1,PAR1,PBMC,original,0.396,29.8
scLinaX_AIDA,P2RY8,PAR1,NK,original,0.395,24.9
scLinaX_AIDA,DHRSX,PAR1,PBMC,original,0.394,34.3
scLinaX_AIDA,CD99P1,PAR1,Monocyte,original,0.393,19.2
scLinaX_AIDA,ZBED1,PAR1,Monocyte,original,0.393,16.5
scLinaX_AIDA,AKAP17A,PAR1,CD4+ T,original,0.389,31.7
scLinaX_AIDA,ZBED1,PAR1,PBMC,original,0.384,25.8
scLinaX_AIDA,STS,nonPAR_escape,CD8+ T,original,0.383,12.7
scLinaX_AIDA,CD99,PAR1,B,original,0.383,73.8
scLinaX_AIDA,KDM6A,nonPAR_escape,PBMC,original,0.382,23.0
scLinaX_AIDA,CD99,PAR1,MAIT,original,0.381,56.0
scLinaX_AIDA,PLCXD1,PAR1,Monocyte,original,0.381,18.8
scLinaX_AIDA,IL3RA,PAR1,Monocyte,original,0.380,37.2
scLinaX_AIDA,PLCXD1,PAR1,PBMC,original,0.378,26.9
scLinaX_AIDA,CD99,PAR1,Plasma_B,original,0.376,34.8
scLinaX_AIDA,P2RY8,PAR1,MAIT,original,0.375,23.0
