ENSEMBL_gene_id,HUGO_gene_id,chr,MASH beta,MASH sd,MASH LFSR,tissue
ENSG00000229807.10,XIST,chrX,9.802124497,0.071314548,0,ADPSBQ
ENSG00000147050.14,KDM6A,chrX,0.623655847,0.012053403,0,ADPSBQ
ENSG00000126012.11,KDM5C,chrX,0.455891734,0.010461954,0,ADPSBQ
ENSG00000141449.14,GREB1L,chr18,-1.378038934,0.092807497,0,ADPSBQ
ENSG00000214717.11,ZBED1,chrX,-0.277545585,0.016683297,0,ADPSBQ
ENSG00000002586.18,CD99,chrX,-0.254804509,0.017112392,0,ADPSBQ
ENSG00000216921.7,,chr2,-1.803598941,0.164460216,0,ADPSBQ
ENSG00000185053.13,SGCZ,chr8,-2.24329215,0.18960719,0,ADPSBQ
ENSG00000237949.1,LINC00844,chr10,-1.184968877,0.102708091,0,ADPSBQ
ENSG00000223773.7,CD99P1,chrX,-0.334463035,0.027849849,0,ADPSBQ
ENSG00000265984.1,,chr18,-1.720378708,0.154879905,0,ADPSBQ
ENSG00000133105.7,RXFP2,chr13,-2.122345558,0.184365896,0,ADPSBQ
ENSG00000115112.7,TFCP2L1,chr2,-0.790745857,0.084418948,0,ADPSBQ
ENSG00000145244.11,CORIN,chr4,-1.015811946,0.102930173,0,ADPSBQ
ENSG00000140835.9,CHST4,chr16,-1.537201143,0.172208057,0,ADPSBQ
ENSG00000255282.6,WTAPP1,chr11,-2.06648053,0.203280654,0,ADPSBQ
ENSG00000258484.3,SPESP1,chr15,-0.78055163,0.074077453,0,ADPSBQ
ENSG00000170074.19,FAM153A,chr5,-0.867254488,0.096822046,0,ADPSBQ
ENSG00000205611.4,LINC01597,chr20,-1.320033719,0.121121968,0,ADPSBQ
ENSG00000143125.5,PROK1,chr1,-1.426585906,0.142068409,0,ADPSBQ
ENSG00000163618.17,CADPS,chr3,-1.487544703,0.145959038,0,ADPSBQ
ENSG00000124243.17,BCAS4,chr20,-0.693682364,0.088293727,0,ADPSBQ
ENSG00000080007.7,DDX43,chr6,-0.978029546,0.09710638,0,ADPSBQ
ENSG00000162493.16,PDPN,chr1,-0.528346871,0.062794836,0,ADPSBQ
ENSG00000169084.13,DHRSX,chrX,-0.203415375,0.020927655,0,ADPSBQ
ENSG00000165966.14,PDZRN4,chr12,-0.748083916,0.082758677,0,ADPSBQ
ENSG00000160111.12,CPAMD8,chr19,-0.800681612,0.091482526,0,ADPSBQ
ENSG00000255346.9,NOX5,chr15,-0.829687841,0.094553121,0,ADPSBQ
ENSG00000173674.10,EIF1AX,chrX,0.501103179,0.013482114,2.266E-291,ADPSBQ
ENSG00000198034.10,RPS4X,chrX,0.48172536,0.014880018,9.636E-226,ADPSBQ
